id,filename,doc_type,original_path,cause,detail,native_chars,image_size,tesseract_chars,tesseract_conf
396,ZL-131-01-1-01.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INO\CHECK A\BV-ES000593\JOB CARD\ZL-131-01-1-01.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 878 caractères, conf=75.4% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4678,878,75.4
3693,TS-INQ_Old doc_LOPA_RAK LIVERY_Livery Install DFP~Oct 2011.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\LOPA\RAK LIVERY\TS-INQ_Old doc_LOPA_RAK LIVERY_Livery Install DFP~Oct 2011.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1177 caractères, conf=71.1% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3307x4676,1177,71.1
3855,TS-INQ_Old doc_Structural Repair_Exterior Repair DFPs_MSN 2158~Exterioir Repair - 61.pdf,SPECS,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Structural Repair\Exterior Repair DFPs\TS-INQ_Old doc_Structural Repair_Exterior Repair DFPs_MSN 2158~Exterioir Repair - 61.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 20 caractères, conf=38.7% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3245x4617,20,38.7
501,ES154944-29122015111400.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INO\CHECK A\ES001102\OE\ES154944-29122015111400.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1661 caractères, conf=61.5% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4678,1661,61.5
3893,TS-INQ_Old doc_Structural Repair_Exterior Repair DFPs_MSN 2158~Exterior Repair - 33.pdf,SPECS,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Structural Repair\Exterior Repair DFPs\TS-INQ_Old doc_Structural Repair_Exterior Repair DFPs_MSN 2158~Exterior Repair - 33.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1543 caractères, conf=74.3% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,4676x3307,1543,74.3
341,261700-03-1-01.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INO\CHECK A\BV-ES000593\JOB CARD\261700-03-1-01.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 989 caractères, conf=73.6% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4678,989,73.6
1430,TS-INP_Check C_ES001392_Defect Report_12.pdf,WORK_ORDER,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INP\Check C\ES001392\Defect Report\TS-INP_Check C_ES001392_Defect Report_12.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 930 caractères, conf=73.8% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4634,930,73.8
2568,TS-INQ_Old doc_Certificates_RAK_8. Aircraft Station Licence - Exp 28-Sep-14.pdf,CERTIFICATE,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Certificates\RAK\TS-INQ_Old doc_Certificates_RAK_8. Aircraft Station Licence - Exp 28-Sep-14.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 1781 caractères, conf=72.1% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3307x4676,1781,72.1
3556,MOD 21.pdf,SPECS,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INQ\Old doc\Engines\Title Engines\MSN 2158 ~ Engines ~ Up To Jan 2014\ESN 575739\ESN 575739 ~ SV Report ~ May 2011\Engine\05\BOX\MOD 21.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 28 caractères, conf=53.7% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3741x4970,28,53.7
519,RCT-ES001102-29122015110029.pdf,RCT,C:\Users\ferie\Desktop\stage nvl\AviationArchive\Aircraft\TS-INO\CHECK A\ES001102\RCT\RCT-ES001102-29122015110029.pdf,B_OK_MAIS_FAIBLE,"Tesseract extrait 357 caractères, conf=51.2% — devrait normalement être classé tesseract, pas none (vérifier fuse_ocr_results)",0,3306x4678,357,51.2
